# k=6 balanced strip cycle-count split window
# strict_open means three-cycle-count envelope does not close the split
# boundary means equality in the leading cycle-count threshold
t,g,target_sum,split_bound,strict_open_count,boundary_count,strict_open_splits,boundary_splits,cert_splits,cert_best_gap
13,16,35,120/7,0,0,,,24:11,-48/7
14,18,36,120/7,0,0,,,24:12,-48/7
15,19,39,132/7,0,0,,,26:13,-50/7
16,20,42,144/7,0,0,,,30:12,-66/7
17,21,45,156/7,0,0,,,31:14,-61/7
17,22,43,144/7,0,0,,,31:12,-73/7
18,23,46,156/7,0,0,,,32:14,-68/7
19,24,49,24,0,0,,,37:12,-13
20,25,52,180/7,0,0,,,42:10,-114/7
21,26,55,192/7,0,0,,,40:15,-88/7
21,27,53,180/7,0,0,,,39:14,-93/7
22,27,58,204/7,1,0,29:29,,41:17,-83/7
22,28,56,192/7,0,0,,,42:14,-102/7
23,29,59,204/7,0,0,,,45:14,-111/7
24,30,62,216/7,0,0,,,45:17,-99/7
24,31,60,204/7,0,0,,,45:15,-111/7
25,31,65,228/7,0,0,,,50:15,-122/7
25,32,63,216/7,0,0,,,49:14,-127/7
26,32,68,240/7,1,0,34:34,,53:15,-131/7
26,33,66,228/7,0,0,,,50:16,-122/7
27,34,69,240/7,0,0,,,51:18,-117/7
27,35,67,228/7,0,0,,,52:15,-136/7
28,35,72,36,0,1,,36:36,57:15,-21
28,36,70,240/7,0,0,,,50:20,-110/7
29,36,75,264/7,0,0,,,57:18,-135/7
29,37,73,36,0,0,,,60:13,-24
30,37,78,276/7,1,0,39:39,,61:17,-151/7
30,38,76,264/7,0,0,,,58:18,-142/7
31,38,81,288/7,2,0,40:41..41:40,,58:23,-118/7
31,39,79,276/7,0,0,,,62:17,-158/7
31,40,77,264/7,0,0,,,58:19,-142/7
32,40,82,288/7,1,0,41:41,,61:21,-139/7
32,41,80,276/7,0,0,,,61:19,-151/7
33,41,85,300/7,0,0,,,64:21,-148/7
33,42,83,288/7,0,0,,,64:19,-160/7
34,42,88,312/7,1,0,44:44,,69:19,-171/7
34,43,86,300/7,0,0,,,65:21,-155/7
34,44,84,288/7,0,0,,,66:18,-174/7
35,43,91,324/7,2,0,45:46..46:45,,73:18,-187/7
35,44,89,312/7,0,0,,,68:21,-164/7
35,45,87,300/7,0,0,,,64:23,-148/7
36,45,92,324/7,1,0,46:46,,72:20,-180/7
36,46,90,312/7,0,0,,,71:19,-185/7
37,46,95,48,0,2,,47:48..48:47,76:19,-28
37,47,93,324/7,0,0,,,71:22,-173/7
37,48,91,312/7,0,0,,,71:20,-185/7
38,47,98,348/7,1,0,49:49,,77:21,-191/7
38,48,96,48,0,1,,48:48,77:19,-29
38,49,94,324/7,0,0,,,74:20,-194/7
39,48,101,360/7,2,0,50:51..51:50,,78:23,-186/7
39,49,99,348/7,0,0,,,79:20,-205/7
39,50,97,48,0,0,,,74:23,-26
40,49,104,372/7,3,0,51:53..53:51,,84:20,-216/7
40,50,102,360/7,1,0,51:51,,83:19,-221/7
40,51,100,348/7,0,0,,,80:20,-212/7

t_min,t_max,rows,strict_open_rows,boundary_rows,certificate_rows_with_strict_open_hit
13,40,55,12,3,0
