t,g,total_swaps,row_preserving_swaps,connected_row_preserving_swaps,exact_triple_swaps,row_preserving_density,connected_density,log_connected_over_t_log_t
13,16,3003,222,222,0,0.07392607392607392,0.07392607392607392,0.16202681219703624
14,18,3486,228,228,0,0.06540447504302926,0.06540447504302926,0.14695035144413188
15,19,4005,349,349,0,0.08714107365792759,0.08714107365792759,0.14413991586564975
16,20,4560,312,312,0,0.06842105263157895,0.06842105263157895,0.12945940966972264
17,21,5151,551,551,0,0.10696952048145991,0.10696952048145991,0.13104502665299417
17,22,5151,345,345,0,0.0669772859638905,0.0669772859638905,0.1213243992392326
18,23,5778,356,356,0,0.06161301488404292,0.06161301488404292,0.11292147444744574
19,24,6441,630,630,0,0.09781089892873777,0.09781089892873777,0.11521665551467783
20,25,7140,432,432,0,0.06050420168067227,0.06050420168067227,0.10128451133326455
21,26,7875,532,532,0,0.06755555555555555,0.06755555555555555,0.0981723049577003
21,27,7875,537,537,0,0.06819047619047619,0.06819047619047619,0.09831861932983163
22,27,8646,504,504,0,0.05829285218598196,0.05829285218598196,0.091504526414422
22,28,8646,523,523,0,0.06049040018505667,0.06049040018505667,0.09204869699399974
23,29,9453,504,504,0,0.053316407489685816,0.053316407489685816,0.08628521554577344
24,30,10296,477,477,0,0.04632867132867133,0.04632867132867133,0.08086076180744839
24,31,10296,501,501,0,0.048659673659673656,0.048659673659673656,0.08150436337433285
25,31,11175,742,742,0,0.06639821029082774,0.06639821029082774,0.08213239158970048
25,32,11175,535,535,0,0.04787472035794183,0.04787472035794183,0.07806783596137311
26,32,12090,728,728,0,0.060215053763440864,0.060215053763440864,0.07779791491146502
26,33,12090,477,477,0,0.03945409429280397,0.03945409429280397,0.07280698099588068
27,34,13041,549,549,0,0.04209799861973775,0.04209799861973775,0.07088739070229126
27,35,13041,528,528,0,0.040487692661605706,0.040487692661605706,0.07044910312259219
28,35,14028,668,668,0,0.047619047619047616,0.047619047619047616,0.06971240975408302
28,36,14028,473,473,0,0.03371827773025378,0.03371827773025378,0.06601266272056476
29,36,15051,748,748,0,0.04969769450534848,0.04969769450534848,0.06776544773799795
29,37,15051,949,949,0,0.0630522888844595,0.0630522888844595,0.07020274391797877
30,37,16110,576,576,0,0.035754189944134075,0.035754189944134075,0.06229284324951154
30,38,16110,710,710,0,0.04407200496585972,0.04407200496585972,0.06434268321143358
31,38,17205,571,571,0,0.033188026736413835,0.033188026736413835,0.059625874658657464
31,39,17205,539,539,0,0.031328102295844235,0.031328102295844235,0.059084102121721056
31,40,17205,693,693,0,0.04027898866608544,0.04027898866608544,0.06144489048771469
32,40,18336,530,530,0,0.028904886561954626,0.028904886561954626,0.056561553434066006
32,41,18336,638,638,0,0.03479493891797557,0.03479493891797557,0.058233828836030434
33,41,19503,792,792,0,0.04060913705583756,0.04060913705583756,0.057846131478336754
33,42,19503,975,975,0,0.049992308875557605,0.049992308875557605,0.05964772207010094
34,42,20706,578,578,0,0.027914614121510674,0.027914614121510674,0.05304230493432875
34,43,20706,574,574,0,0.027721433400946585,0.027721433400946585,0.052984384257919855
34,44,20706,683,683,0,0.032985608036317976,0.032985608036317976,0.05443451678405481
35,43,21945,780,780,0,0.0355434039644566,0.0355434039644566,0.05351530631368993
35,44,21945,683,683,0,0.03112326270221007,0.03112326270221007,0.05244810873000875
35,45,21945,750,750,0,0.03417634996582365,0.03417634996582365,0.05320012147524403
36,45,23220,678,678,0,0.029198966408268735,0.029198966408268735,0.050533408020170534
36,46,23220,741,741,0,0.03191214470284238,0.03191214470284238,0.05122215790604212
37,46,24531,1032,1032,0,0.042069218539806774,0.042069218539806774,0.05193898296340098
37,47,24531,713,713,0,0.029065264359382007,0.029065264359382007,0.04917130663130171
37,48,24531,674,674,0,0.027475439240145123,0.027475439240145123,0.04875027638387008
38,47,25878,663,663,0,0.02562021794574542,0.02562021794574542,0.04700033357078968
38,48,25878,1000,1000,0,0.038642862663266095,0.038642862663266095,0.04997353345744479
38,49,25878,808,808,0,0.031223433031919004,0.031223433031919004,0.048431206304074624
39,48,27261,874,874,0,0.03206045266131103,0.03206045266131103,0.04740434155499546
39,49,27261,886,886,0,0.03250064194270203,0.03250064194270203,0.0474997830410986
39,50,27261,1005,1005,0,0.03686585231649609,0.03686585231649609,0.048381829768672314
40,49,28680,1599,1599,0,0.055753138075313805,0.055753138075313805,0.04999576297218644
40,50,28680,972,972,0,0.033891213389121336,0.033891213389121336,0.046622259483082316
40,51,28680,776,776,0,0.02705718270571827,0.02705718270571827,0.045096028502383916
