t,g,target_sum,c_pi,c_side,g_over_t,c_pi_over_t,c_side_over_t,pi_fixed_fraction,plus_fixed_fraction,minus_fixed_fraction,pi_largest_fraction,plus_largest_fraction,minus_largest_fraction,pi_small_cycle_hist,plus_small_cycle_hist,minus_small_cycle_hist
13,16,35,24,11,1.2307692307692308,1.8461538461538463,0.8461538461538461,0.10256410256410256,0.0,0.02564102564102564,0.14102564102564102,0.2948717948717949,0.3717948717948718,1:8;2:5;3:2;4:2;5:3;6:2,1:0;2:4;3:1;4:1;5:1;6:0,1:2;2:1;3:2;4:2;5:0;6:1
14,18,36,24,12,1.2857142857142858,1.7142857142857142,0.8571428571428571,0.07142857142857142,0.047619047619047616,0.047619047619047616,0.14285714285714285,0.2261904761904762,0.2619047619047619,1:6;2:5;3:4;4:2;5:4;6:0,1:4;2:2;3:1;4:0;5:0;6:0,1:4;2:1;3:0;4:1;5:0;6:1
15,19,39,26,13,1.2666666666666666,1.7333333333333334,0.8666666666666667,0.1111111111111111,0.044444444444444446,0.044444444444444446,0.23333333333333334,0.2777777777777778,0.4777777777777778,1:10;2:6;3:4;4:0;5:2;6:0,1:4;2:2;3:2;4:0;5:0;6:0,1:4;2:2;3:1;4:0;5:0;6:2
16,20,42,30,12,1.25,1.875,0.75,0.09375,0.020833333333333332,0.020833333333333332,0.15625,0.5625,0.23958333333333334,1:9;2:5;3:8;4:3;5:2;6:0,1:2;2:3;3:2;4:1;5:0;6:0,1:2;2:0;3:0;4:2;5:1;6:1
17,21,45,31,14,1.2352941176470589,1.8235294117647058,0.8235294117647058,0.08823529411764706,0.0392156862745098,0.029411764705882353,0.21568627450980393,0.5490196078431373,0.47058823529411764,1:9;2:8;3:9;4:1;5:1;6:0,1:4;2:4;3:1;4:0;5:0;6:1,1:3;2:1;3:2;4:1;5:0;6:4
17,22,43,31,12,1.2941176470588236,1.8235294117647058,0.7058823529411765,0.06862745098039216,0.029411764705882353,0.00980392156862745,0.10784313725490197,0.46078431372549017,0.3431372549019608,1:7;2:9;3:4;4:4;5:4;6:0,1:3;2:1;3:3;4:1;5:1;6:0,1:1;2:2;3:1;4:1;5:2;6:0
18,23,46,32,14,1.2777777777777777,1.7777777777777777,0.7777777777777778,0.07407407407407407,0.027777777777777776,0.018518518518518517,0.12037037037037036,0.24074074074074073,0.4166666666666667,1:8;2:10;3:4;4:5;5:1;6:0,1:3;2:2;3:2;4:1;5:1;6:0,1:2;2:2;3:2;4:3;5:0;6:3
19,24,49,37,12,1.263157894736842,1.9473684210526316,0.631578947368421,0.14912280701754385,0.008771929824561403,0.017543859649122806,0.13157894736842105,0.5789473684210527,0.3333333333333333,1:17;2:7;3:2;4:3;5:1;6:3,1:1;2:6;3:0;4:0;5:1;6:1,1:2;2:1;3:1;4:1;5:1;6:1
20,25,52,42,10,1.25,2.1,0.5,0.10833333333333334,0.016666666666666666,0.016666666666666666,0.10833333333333334,0.2833333333333333,0.45,1:13;2:10;3:10;4:4;5:1;6:1,1:2;2:1;3:1;4:0;5:0;6:0,1:2;2:1;3:0;4:1;5:1;6:2
21,26,55,40,15,1.2380952380952381,1.9047619047619047,0.7142857142857143,0.1111111111111111,0.031746031746031744,0.047619047619047616,0.11904761904761904,0.3253968253968254,0.3253968253968254,1:14;2:6;3:7;4:6;5:3;6:2,1:4;2:2;3:3;4:0;5:0;6:1,1:6;2:2;3:0;4:0;5:1;6:0
21,27,53,39,14,1.2857142857142858,1.8571428571428572,0.6666666666666666,0.1111111111111111,0.031746031746031744,0.015873015873015872,0.09523809523809523,0.42063492063492064,0.30952380952380953,1:14;2:6;3:3;4:8;5:2;6:2,1:4;2:4;3:1;4:0;5:1;6:0,1:2;2:4;3:3;4:0;5:1;6:1
22,27,58,41,17,1.2272727272727273,1.8636363636363635,0.7727272727272727,0.17424242424242425,0.030303030303030304,0.022727272727272728,0.14393939393939395,0.22727272727272727,0.2727272727272727,1:23;2:6;3:2;4:2;5:1;6:2,1:4;2:3;3:0;4:2;5:1;6:1,1:3;2:5;3:1;4:2;5:1;6:0
22,28,56,42,14,1.2727272727272727,1.9090909090909092,0.6363636363636364,0.12121212121212122,0.022727272727272728,0.030303030303030304,0.09090909090909091,0.3181818181818182,0.29545454545454547,1:16;2:9;3:3;4:3;5:4;6:1,1:3;2:2;3:3;4:1;5:0;6:0,1:4;2:0;3:1;4:2;5:2;6:0
23,29,59,45,14,1.2608695652173914,1.9565217391304348,0.6086956521739131,0.10144927536231885,0.014492753623188406,0.007246376811594203,0.06521739130434782,0.26811594202898553,0.5217391304347826,1:14;2:8;3:9;4:4;5:3;6:3,1:2;2:2;3:2;4:0;5:1;6:3,1:1;2:2;3:3;4:1;5:2;6:1
24,30,62,45,17,1.25,1.875,0.7083333333333334,0.125,0.034722222222222224,0.020833333333333332,0.09722222222222222,0.3055555555555556,0.2986111111111111,1:18;2:7;3:5;4:4;5:6;6:0,1:5;2:2;3:2;4:0;5:0;6:0,1:3;2:4;3:3;4:1;5:1;6:0
24,31,60,45,15,1.2916666666666667,1.875,0.625,0.1111111111111111,0.027777777777777776,0.034722222222222224,0.08333333333333333,0.2222222222222222,0.4027777777777778,1:16;2:7;3:7;4:5;5:2;6:2,1:4;2:1;3:1;4:0;5:1;6:0,1:5;2:3;3:1;4:1;5:0;6:0
25,31,65,50,15,1.24,2.0,0.6,0.12666666666666668,0.03333333333333333,0.03333333333333333,0.09333333333333334,0.3,0.52,1:19;2:9;3:5;4:9;5:1;6:2,1:5;2:0;3:1;4:1;5:0;6:1,1:5;2:3;3:1;4:0;5:0;6:2
25,32,63,49,14,1.28,1.96,0.56,0.09333333333333334,0.02,0.02666666666666667,0.12,0.24666666666666667,0.29333333333333333,1:14;2:16;3:8;4:2;5:2;6:3,1:3;2:1;3:1;4:2;5:2;6:0,1:4;2:1;3:0;4:1;5:0;6:1
26,32,68,53,15,1.2307692307692308,2.0384615384615383,0.5769230769230769,0.10897435897435898,0.038461538461538464,0.01282051282051282,0.05128205128205128,0.48717948717948717,0.25,1:17;2:13;3:6;4:5;5:2;6:6,1:6;2:3;3:0;4:2;5:1;6:1,1:2;2:3;3:0;4:2;5:2;6:0
26,33,66,50,16,1.2692307692307692,1.9230769230769231,0.6153846153846154,0.1282051282051282,0.00641025641025641,0.00641025641025641,0.08333333333333333,0.2692307692307692,0.24358974358974358,1:20;2:10;3:7;4:3;5:3;6:0,1:1;2:1;3:1;4:1;5:2;6:0,1:1;2:2;3:1;4:2;5:2;6:1
27,34,69,51,18,1.2592592592592593,1.8888888888888888,0.6666666666666666,0.1111111111111111,0.018518518518518517,0.024691358024691357,0.09876543209876543,0.17901234567901234,0.3765432098765432,1:18;2:9;3:7;4:10;5:1;6:2,1:3;2:2;3:0;4:0;5:4;6:1,1:4;2:2;3:2;4:1;5:1;6:2
27,35,67,52,15,1.2962962962962963,1.9259259259259258,0.5555555555555556,0.11728395061728394,0.024691358024691357,0.012345679012345678,0.06172839506172839,0.30246913580246915,0.2222222222222222,1:19;2:9;3:7;4:4;5:2;6:3,1:4;2:2;3:0;4:0;5:0;6:1,1:2;2:2;3:1;4:1;5:1;6:2
28,35,72,57,15,1.25,2.0357142857142856,0.5357142857142857,0.08928571428571429,0.023809523809523808,0.023809523809523808,0.07142857142857142,0.32142857142857145,0.35119047619047616,1:15;2:17;3:12;4:4;5:2;6:2,1:4;2:2;3:1;4:0;5:2;6:1,1:4;2:0;3:3;4:1;5:0;6:0
28,36,70,50,20,1.2857142857142858,1.7857142857142858,0.7142857142857143,0.05357142857142857,0.005952380952380952,0.02976190476190476,0.07738095238095238,0.25595238095238093,0.22023809523809523,1:9;2:15;3:12;4:2;5:6;6:1,1:1;2:5;3:0;4:2;5:1;6:2,1:5;2:4;3:1;4:2;5:0;6:0
29,36,75,57,18,1.2413793103448276,1.9655172413793103,0.6206896551724138,0.09195402298850575,0.017241379310344827,0.022988505747126436,0.12643678160919541,0.23563218390804597,0.3620689655172414,1:16;2:18;3:10;4:4;5:3;6:2,1:3;2:1;3:4;4:1;5:0;6:3,1:4;2:1;3:2;4:3;5:1;6:1
29,37,73,60,13,1.2758620689655173,2.0689655172413794,0.4482758620689655,0.13218390804597702,0.017241379310344827,0.011494252873563218,0.06896551724137931,0.22988505747126436,0.4942528735632184,1:23;2:11;3:9;4:6;5:1;6:6,1:3;2:0;3:1;4:0;5:1;6:0,1:2;2:3;3:2;4:1;5:1;6:0
30,37,78,61,17,1.2333333333333334,2.033333333333333,0.5666666666666667,0.09444444444444444,0.027777777777777776,0.016666666666666666,0.06111111111111111,0.18333333333333332,0.34444444444444444,1:17;2:16;3:9;4:8;5:5;6:2,1:5;2:0;3:1;4:1;5:0;6:3,1:3;2:2;3:3;4:2;5:1;6:0
