source_index,source_t,source_g,source_p,source_q,target_t,target_g,target_p,target_q,checked,hit_count,first_hit_perm,best_score,best_c_pi,best_c_gamma_pi,best_c_pi_gamma_inv,best_plus,best_minus,best_g_plus,best_g_minus,best_components
0,43,53,55,56,44,54,56,58,720,114,258 260 261 263 259 262,0,56,58,58,194,194,54,54,1
0,43,53,55,56,44,54,57,57,720,130,258 259 261 263 260 262,0,57,57,57,194,194,54,54,1
0,43,53,55,56,44,54,58,56,720,15,258 259 262 263 260 261,0,58,56,56,194,194,54,54,1
0,43,53,55,56,44,55,56,56,720,20,258 261 262 263 259 260,0,56,56,56,196,196,55,55,1
1,43,53,56,55,44,54,56,58,720,6,259 260 263 258 261 262,0,56,58,58,194,194,54,54,1
1,43,53,56,55,44,54,57,57,720,114,258 260 261 263 259 262,0,57,57,57,194,194,54,54,1
1,43,53,56,55,44,54,58,56,720,130,258 259 261 263 260 262,0,58,56,56,194,194,54,54,1
1,43,53,56,55,44,55,56,56,720,54,259 261 258 263 260 262,0,56,56,56,196,196,55,55,1
2,43,53,55,56,44,54,56,58,720,114,258 260 261 263 259 262,0,56,58,58,194,194,54,54,1
2,43,53,55,56,44,54,57,57,720,130,258 259 261 263 260 262,0,57,57,57,194,194,54,54,1
2,43,53,55,56,44,54,58,56,720,15,258 259 262 263 260 261,0,58,56,56,194,194,54,54,1
2,43,53,55,56,44,55,56,56,720,20,258 261 262 263 259 260,0,56,56,56,196,196,55,55,1
3,43,53,56,55,44,54,56,58,720,6,259 260 263 258 261 262,0,56,58,58,194,194,54,54,1
3,43,53,56,55,44,54,57,57,720,114,258 260 261 263 259 262,0,57,57,57,194,194,54,54,1
3,43,53,56,55,44,54,58,56,720,130,258 259 261 263 260 262,0,58,56,56,194,194,54,54,1
3,43,53,56,55,44,55,56,56,720,54,259 261 258 263 260 262,0,56,56,56,196,196,55,55,1
4,43,53,55,56,44,54,56,58,720,114,258 260 261 263 259 262,0,56,58,58,194,194,54,54,1
4,43,53,55,56,44,54,57,57,720,130,258 259 261 263 260 262,0,57,57,57,194,194,54,54,1
4,43,53,55,56,44,54,58,56,720,15,258 259 262 263 260 261,0,58,56,56,194,194,54,54,1
4,43,53,55,56,44,55,56,56,720,20,258 261 262 263 259 260,0,56,56,56,196,196,55,55,1
5,43,53,56,55,44,54,56,58,720,6,259 260 263 258 261 262,0,56,58,58,194,194,54,54,1
5,43,53,56,55,44,54,57,57,720,114,258 260 261 263 259 262,0,57,57,57,194,194,54,54,1
5,43,53,56,55,44,54,58,56,720,130,258 259 261 263 260 262,0,58,56,56,194,194,54,54,1
5,43,53,56,55,44,55,56,56,720,54,259 261 258 263 260 262,0,56,56,56,196,196,55,55,1
6,43,53,55,56,44,54,56,58,720,114,258 260 261 263 259 262,0,56,58,58,194,194,54,54,1
6,43,53,55,56,44,54,57,57,720,130,258 259 261 263 260 262,0,57,57,57,194,194,54,54,1
6,43,53,55,56,44,54,58,56,720,15,258 259 262 263 260 261,0,58,56,56,194,194,54,54,1
6,43,53,55,56,44,55,56,56,720,20,258 261 262 263 259 260,0,56,56,56,196,196,55,55,1
