t,g,p,q,base_score,base_c_pi,base_c_gamma_pi,base_c_pi_gamma_inv,base_plus,base_minus,base_g_plus,base_g_minus,base_components,neighbor_count,min_neighbor_score,zero_neighbors,improving_neighbors,same_score_neighbors,score_one_neighbors,score_two_neighbors,first_zero_swap,best_neighbor_swap,best_neighbor_c_pi,best_neighbor_c_gamma_pi,best_neighbor_c_pi_gamma_inv,best_neighbor_plus,best_neighbor_minus,best_neighbor_g_plus,best_neighbor_g_minus,best_neighbor_components
22,27,29,29,2,29,27,29,98,96,28,27,1,8646,3,0,0,0,0,0,,0:47,30,28,28,96,96,27,27,1
26,32,34,34,2,34,32,34,116,114,33,32,1,12090,3,0,0,0,0,0,,0:7,33,33,33,116,116,33,33,1
30,37,39,39,2,39,37,39,134,132,38,37,1,16110,3,0,0,0,0,0,,0:1,38,38,38,134,134,38,38,1
31,38,40,41,2,40,41,39,136,138,38,39,1,17205,3,0,0,0,0,0,,0:4,39,40,40,138,138,39,39,1
31,38,41,40,2,39,40,40,138,138,39,39,1,17205,3,0,0,0,0,0,,0:67,40,39,39,138,138,39,39,1
32,40,41,41,6,35,41,41,148,148,43,43,1,18336,7,0,0,0,0,0,,0:64,36,40,40,148,148,43,43,1
34,42,44,44,2,44,42,44,152,150,43,42,1,20706,3,0,0,0,0,0,,0:13,43,43,43,152,152,43,43,1
35,43,45,46,2,45,46,44,154,156,43,44,1,21945,3,0,0,0,0,0,,0:6,44,45,45,156,156,44,44,1
35,43,46,45,2,46,43,45,156,154,44,43,1,21945,3,0,0,0,0,0,,0:2,45,44,44,156,156,44,44,1
36,45,46,46,2,44,46,46,162,162,46,46,1,23220,3,0,0,0,0,0,,0:7,45,45,45,162,162,46,46,1
38,47,49,49,2,47,49,49,170,170,48,48,1,25878,3,0,0,0,0,0,,0:15,48,48,48,170,170,48,48,1
39,48,50,51,3,49,50,50,174,174,49,49,1,27261,0,1,125,0,0,124,187:207,187:207,50,51,51,172,172,48,48,1
39,48,51,50,4,51,46,50,176,172,50,48,1,27261,5,0,0,0,0,0,,0:12,50,47,49,176,174,50,49,1
40,49,51,53,4,47,53,53,180,180,51,51,1,28680,5,0,0,0,0,0,,0:83,48,52,52,180,180,51,51,1
40,49,52,52,9,51,49,47,180,182,51,52,1,28680,6,0,97,0,0,0,,18:170,52,50,48,178,180,50,51,1
40,49,53,51,6,51,47,51,182,178,52,50,1,28680,5,0,31,0,0,0,,1:99,52,48,50,180,178,51,50,1
40,50,51,51,2,51,51,49,178,180,50,51,1,28680,3,0,0,0,0,0,,0:12,50,50,50,180,180,51,51,1
