k,r,j,h,E,count
2,2,1,0,4,18
2,2,1,2,8,2
2,3,2,0,8,432
2,3,2,2,12,160
2,4,2,0,8,972
2,4,2,2,12,216
2,4,3,0,12,18144
2,4,2,4,16,12
2,4,3,2,16,14736
2,4,3,4,20,1008
2,5,3,0,12,77760
2,5,3,2,16,37440
2,5,4,0,16,1119744
2,5,3,4,20,3200
2,5,4,2,20,1643520
2,5,4,4,24,370944
2,6,3,0,12,87480
2,6,3,2,16,29160
2,6,4,0,16,6765120
2,6,3,4,20,3240
2,6,4,2,20,5905440
2,6,5,0,20,92378880
2,6,3,6,24,120
2,6,4,4,24,970240
2,6,5,2,24,218549760
2,6,4,6,28,30240
2,6,5,4,28,107343360
2,6,5,6,32,5702400
2,7,4,0,16,14696640
2,7,4,2,20,8709120
2,7,5,0,20,697600512
2,7,4,4,24,1391040
2,7,5,2,24,992694528
2,7,6,0,24,9607403520
2,7,4,6,28,67200
2,7,5,4,28,307007232
2,7,6,2,28,33941053440
2,7,5,6,32,21224448
2,7,6,4,32,29955502080
2,7,6,6,36,5218836480
2,8,4,0,16,11022480
2,8,4,2,20,4898880
2,8,5,0,20,2175102720
2,8,4,4,24,816480
2,8,5,2,24,2078213760
2,8,6,0,24,85169968128
2,8,4,6,28,60480
2,8,5,4,28,513072000
2,8,6,2,28,183831137280
2,8,7,0,28,1210532843520
2,8,4,8,32,1680
2,8,5,6,32,41955200
2,8,6,4,32,98920136448
2,8,7,2,32,6044892456960
2,8,5,8,36,846720
2,8,6,6,36,13248668160
2,8,7,4,36,8562021027840
2,8,6,8,40,354896640
2,8,7,6,40,3230909337600
2,8,7,8,44,145297152000
2,9,5,0,20,3174474240
2,9,5,2,24,2233889280
2,9,6,0,24,337481883648
2,9,5,4,28,509483520
2,9,6,2,28,486815422464
2,9,7,0,28,12137738305536
2,9,5,6,32,47900160
2,9,6,4,32,187851073536
2,9,7,2,32,37694233903104
2,9,8,0,32,179599054602240
2,9,5,8,36,1612800
2,9,6,6,36,24424228864
2,9,7,4,36,32729336414208
2,9,8,2,36,1216154543063040
2,9,6,8,40,967292928
2,9,7,6,40,8085710905344
2,9,8,4,40,2563669514649600
2,9,7,8,44,499509338112
2,9,8,6,44,1732100999086080
2,9,8,8,48,254288281927680
2,10,5,0,20,1785641760
2,10,5,2,24,992023200
2,10,6,0,24,714256704000
2,10,5,4,28,220449600
2,10,6,2,28,748646841600
2,10,7,0,28,57242119495680
2,10,5,6,32,24494400
2,10,6,4,32,240763622400
2,10,7,2,32,118810302750720
2,10,8,0,32,1988547260276736
2,10,5,8,36,1360800
2,10,6,6,36,31752000000
2,10,7,4,36,70261361210880
2,10,8,2,36,8531637286440960
2,10,9,0,36,30711438336983040
2,10,5,10,40,30240
2,10,6,8,40,1702310400
2,10,7,6,40,14135253189120
2,10,8,4,40,11233730089193472
2,10,9,2,40,272984819342376960
2,10,6,10,44,25401600
2,10,7,8,44,1004870361600
2,10,8,6,44,4787111951400960
2,10,9,4,44,811261008142663680
2,10,7,10,48,17570649600
2,10,8,8,48,566380586151936
2,10,9,6,48,877207609648742400
2,10,8,10,52,14283827712000
2,10,9,8,52,277930102184017920
2,10,9,10,56,11058645491712000
2,11,6,0,24,785682374400
2,11,6,2,28,640185638400
2,11,7,0,28,155600029347840
2,11,6,4,32,187529126400
2,11,7,2,32,232437825607680
2,11,8,0,32,10721436646440960
2,11,6,6,36,25866086400
2,11,7,4,36,106334331586560
2,11,8,2,36,30851142435717120
2,11,9,0,36,369403967698698240
2,11,6,8,40,1716422400
2,11,7,6,40,19740663613440
2,11,8,4,40,27111546963578880
2,11,9,2,40,2119733681287495680
2,11,10,0,40,5953294200707481600
2,11,6,10,44,44352000
2,11,7,8,44,1562033285120
2,11,8,6,44,8401304440995840
2,11,9,4,44,4026610867207864320
2,11,10,2,44,67666881943122739200
2,11,7,10,48,42918543360
2,11,8,8,48,967177142046720
2,11,9,6,48,2763238930334023680
2,11,10,4,48,272118859599760588800
2,11,8,10,52,35218277867520
